id_cancion	plays	song	artist	id_cancion	requests
580230	18017	Don't Wanna Know	Maroon 5, Kendrick Lamar	580230	136
579849	17922	Vuela CorazÃ_n	Dasoul	579849	511
571513	17896	Applause	Lady Gaga	571513	350
575616	17893	Terriblemente Cruel	Leiva	575616	1401
580369	17877	Shape of You	Ed Sheeran	580369	1311
513861	17839	I Could Be The One [Avicii vs Nicky Romero] - Nicktim - Radio Edit	Avicii, Nicky Romero	513861	559
561041	17804	la la la	Naughty Boy	561041	761
577949	17752	Mi Nuevo Vicio	Paulina Rubio, Morat	577949	1936
580051	17683	We Don't Talk Anymore (feat. Selena Gomez)	Charlie Puth, Selena Gomez	580051	230
576742	17679	Break Free	Ariana Grande, Zedd	576742	261
580163	17652	Lost on You	LP	580163	288
445081	17588	The Final Countdown	Europe	445081	1611
579351	17580	How Deep Is Your Love	Calvin Harris, Disciples	579351	430
577763	17532	I'm Not The Only One	Sam Smith, A$AP Rocky	577763	42
576404	17451	Rude	Magic!	576404	310
540939	17377	Get Lucky (Feat. Pharrell Williams)	Daft Punk	540939	564
579924	17290	Don't Let Me Down	The Chainsmokers, Daya	579924	447
580289	17277	Quiero Que Sepas	Juan Magan	580289	494
576906	17230	Blame	Calvin Harris, John Newman	576906	454
575792	17205	Riptide	Vance Joy	575792	190
575240	17194	Emocional	Dani Martin	575240	475
578419	17014	I Really Like You	Carly Rae Jepsen	578419	107
576763	16907	Si No Te Quisiera	Juan Magan, Belinda, Lapiz Conciente	576763	2921
374642	16887	Cheque al portamor	Melendi	374642	415
579882	16833	NO	Meghan Trainor	579882	222
578846	16829	Firestone	Kygo, Conrad Sewell	578846	369
42467	16821	Uprising	Muse	42467	1155
577741	16818	Hijos de un Mismo Dios	Macaco	577741	178
578899	16755	Hold My Hand	Jess Glynne	578899	101
578869	16695	Cuando Me Siento Bien	Efecto Pasillo	578869	386
575695	16686	Happy	Pharrell Williams	575695	1716
578064	16655	Earned It (Fifty Shades Of Grey) - From The Fifty Shades Of Grey Soundtrack	The Weeknd	578064	180
580048	16646	Traicionera	Sebastian Yatra	580048	1833
580062	16607	Deja Que Te Bese	Alejandro Sanz, Marc Anthony	580062	1288
580015	16605	Sincericidio	Leiva	580015	342
579760	16592	Hymn For The Weekend	Coldplay	579760	432
579908	16480	This Is What You Came For	Calvin Harris, Rihanna	579908	507
579743	16453	Light It Up (feat. Nyla & Fuse ODG)	Major Lazer, Nyla, Fuse Odg	579743	234
575787	16436	Waves - Robin Schulz Radio Edit	Mr. Probz	575787	488
575649	16414	Moviendo Caderas	Yandel, Daddy Yankee	575649	1487
579925	16390	Ay MI Dios (feat. Pitbull, Yandel & Chacal)	IAmChino, Pitbull, Yandel, Chacal	579925	1540
549467	16378	LivE It UP (feat. Pitbull)	Jennifer Lopez	549467	574
360011	16352	I Need Your Love	Calvin Harris, Ellie Goulding	360011	807
576252	16310	Problem	Ariana Grande, Iggy Azalea	576252	519
459170	16304	Mi Reina	Henry Mendez	459170	3221
580152	16279	The Greatest	Sia, Kendrick Lamar	580152	484
575338	16278	Royals	Lorde	575338	383
579364	16215	Ginza	J Balvin	579364	2446
577588	16201	Cheerleader - Felix Jaehn Remix Radio Edit	Omi	577588	585
580049	16147	This Girl (Kungs Vs. Cookin' On 3 Burners)	Kungs, Cookin' On 3 Burners	580049	257
575704	16110	Trumpets	Jason Derulo	575704	720
575243	16080	Que Bonita la Vida	Dani Martin	575243	349
580247	16056	Rockabye (feat. Sean Paul & Anne-Marie)	Clean Bandit, Sean Paul, Anne-Marie	580247	620
39801	16043	Zombie	The Cranberries	39801	1260
575860	16001	Am I Wrong	Nico & Vinz	575860	203
577541	15986	Travesuras - Remix	Nicky Jam, De La Ghetto, J Balvin, Zion, Arcangel	577541	1997
576269	15948	CorazÃ_n En La Maleta	Luis Fonsi	576269	133
576061	15928	Summer	Calvin Harris	576061	843
356940	15926	Just Give Me A Reason	P!nk featuring Nate Ruess	356940	325
576250	15815	Paraiso	Dvicio	576250	586
480404	15775	FunketÃ_n	Efecto Pasillo	480404	245
579397	15686	What Do You Mean?	Justin Bieber	579397	580
576761	15632	Bang Bang	Jessie J, Ariana Grande, Nicki Minaj	576761	457
577183	15631	Love Me Harder	Ariana Grande, The Weeknd	577183	128
578422	15617	Five More Hours	Deorro, Chris Brown	578422	284
576401	15606	Travesuras	Nicky Jam	576401	4070
453936	15592	Tu Peor Error	La 5A Estacion	453936	237
576782	15472	Animals	Maroon 5	576782	389
575200	15420	Come with Me - Spanglish Version	Ricky Martin	575200	346
45609	15381	Entre Dos Tierras	Heroes Del Silencio	45609	1891
579301	15381	Stole the Show	Kygo, Parson James	579301	160
744	15371	Peter Pan	El Canto Del Loco	744	316
577582	15364	Eres MÃ_a	Romeo Santos	577582	2632
579646	15336	Mayor Que Yo 3	Luny Tunes, Daddy Yankee, Wisin, Don Omar, Yandel	579646	1703
579662	15312	Bang my Head (feat. Sia & Fetty Wap)	David Guetta, Sia, Fetty Wap	579662	334
269734	15280	Limbo	Daddy Yankee	269734	2536
579913	15186	Bobo	J Balvin	579913	435
378473	15179	Demons	Imagine Dragons	378473	522
579281	15174	Cheerleader - Felix Jaehn Remix Radio Edit	Omi	579281	298
75661	15137	Creep	Radiohead	75661	829
298597	15115	Camino De Rosas	Alejandro Sanz	298597	154
577637	15101	Madre Tierra (Oye)	Chayanne	577637	1320
453798	15095	Call It Stormy Monday	B.B. King, Albert Collins, Albert Collins	453798	13
576757	15064	He Vuelto	El Barrio	576757	1631
576791	15000	Take Me to Church	Hozier	576791	289
575711	14970	Changes - Original Mix	Faul & Wad Ad, Pnau	575711	635
580176	14910	Good Life	Sweet California	580176	49
576257	14830	Me And My Broken Heart	Rixton	576257	50
579748	14734	Hasta el Amanecer	Nicky Jam	579748	1637
19258	14685	El Roce De Tu Cuerpo	Platero Y Tu	19258	1515
578870	14672	He Llorado (Como Un NiÃ±o)	Juan Magan, Gente De Zona	578870	1565
358511	14642	Little Talks	Of Monsters And Men	358511	830
576502	14501	Ghost	Ella Henderson	576502	30
577168	14443	Perdona Si Te Llamo Amor	Maldita Nerea	577168	195
579779	14392	7 Years	Lukas Graham	579779	327
433163	14365	Chica De Ayer	Nacha Pop	433163	709
571567	14310	Vi	Pablo LÃ_pez	571567	219
516893	14248	Mirrors	Justin Timberlake	516893	147
579179	14189	Pastillas Para Dormir	Estopa	579179	1122
579482	14164	Hotline Bling	Drake	579482	443
576540	14156	La conocÃ_ bailando - feat. K-Narias [Radio edit]	Dr. Bellido	576540	1275
433125	14146	SÃ_lo el Amor nos SalvarÃ¡ - Dueto con MalÃº	Aleks Syntek, Malu	433125	132
580242	14082	Safari	J Balvin, Pharrell Williams, BIA, Sky	580242	908
571468	14062	Motivate	Danny Romero	571468	1710
579369	14034	Can't Feel My Face	The Weeknd	579369	264
10645	14030	Venezia	Hombres G	10645	417
571583	14027	El Primer Dia del Resto de Mi Vida	La Oreja de Van Gogh	571583	237
579367	14007	Ain't Nobody (Loves Me Better)	Felix Jaehn, Jasmine Thompson	579367	257
351299	13966	Play Hard - feat. Ne-Yo & Akon	David Guetta	351299	1233
580107	13944	Kiss the Sky	Jason Derulo	580107	95
20961	13926	It's My Life	Bon Jovi	20961	2435
580244	13868	Human	Rag'n'Bone Man	580244	392
579778	13853	Stressed Out	Twenty One Pilots	579778	444
579878	13787	Catch & Release	Matt Simons, Falco Van Den Aker, Bob Van Ratingen	579878	74
577584	13781	Sun Goes Down (feat. Jasmine Thompson) - Radio Mix	Robin Schulz, Jasmine Thompson	577584	394
576492	13683	Prayer In C - Robin Schulz Radio Edit alt	Lilly Wood and The Prick, Robin Schulz	576492	186
78271	13675	Far Wes	Wes Montgomery	78271	4
576533	13670	Toca Toca - Radio Edit	Fly Project	576533	1127
142603	13629	Two Princes	Spin Doctors	142603	165
580235	13586	ÃÅcido	Miss Caffeina	580235	44
526269	13508	Treasure	Bruno Mars	526269	630
579920	13495	CuÃ¡nto Me Duele	Morat	579920	413
579489	13493	El Mismo Sol	Alvaro Soler, Jennifer Lopez	579489	575
576263	13478	Wiggle (feat. Snoop Dogg)	Jason Derulo, Snoop Dogg	576263	930
580021	13477	Safari	J Balvin, Pharrell Williams, BIA, Sky	580021	864
575696	13472	Say Something	A Great Big World, Christina Aguilera	575696	166
369529	13467	Se Vende	Alejandro Sanz	369529	60
288504	13460	Aqui Estoy Yo	Luis Fonsi, Aleks Syntek, Noel Schajris, David Bisbal	288504	119
369059	13459	QuiÃ©n	Pablo Alboran	369059	450
566903	13382	If I Lose Myself (Alesso Extended Remix)	Alesso vs. OneRepublic	566903	544
579057	13382	Come And Get It	John Newman	579057	137
232766	13340	With Or Without You	U2	232766	1396
68098	13322	No Controles	Ole Ole	68098	224
575432	13298	Deshazte de Mi	Malu	575432	294
576749	13291	Mira Dentro	Maldita Nerea	576749	62
575786	13287	"Happy (From ""Despicable Me 2"")"	Pharrell Williams	575786	370
580055	13282	Yo Quiero Vivir	Manuel Carrasco	580055	120
433267	13258	SeÃ±orita	Abraham Mateo	433267	980
4825	13215	CorazÃ_n de mimbre	Marea	4825	2326
579755	13188	Fast Car	Jonas Blue, Dakota	579755	181
310888	13186	Stand by - Version 2004	Extremoduro	310888	1945
11266	13144	Prefiero Seguir Presente	Manuel Carrasco	11266	22
571494	13137	Best Song Ever	One Direction	571494	96
79799	13118	Dolores se llamaba Lola	Los Suaves	79799	2203
579926	13110	Shaky Shaky	Daddy Yankee	579926	1138
579854	13039	Mira cÃ_mo vuelo	Miss Caffeina	579854	271
571653	13032	No Dejes De SoÃ±ar	Manuel Carrasco	571653	148
17926	12958	Dulce Condena	Los Rodriguez	17926	154
369289	12940	Angelito Sin Alas - Remix feat Juan Magain	DCS feat. Juan Magan	369289	1476
580104	12907	Cold Water (feat. Justin Bieber & MÃ˜)	Major Lazer, Justin Bieber, MÃ˜	580104	181
576446	12894	Lipstick	Sophia Del Carmen	576446	46
580153	12881	Vente Pa' Ca	Ricky Martin, Maluma	580153	1316
580292	12845	Sexual	NEIKED, Dyo	580292	217
44125	12833	Bring Me To Life	Evanescence	44125	1645
579756	12830	Me, Myself & I	G-Eazy, Bebe Rexha	579756	172
43896	12829	Por la boca vive el pez	Fito y Fitipaldis	43896	1273
579205	12826	Shut Up and Dance	Walk the Moon	579205	164
541461	12807	Get Lucky	Daft Punk	541461	1072
579851	12801	Cake By The Ocean	DNCE	579851	180
45543	12788	Maldito Duende	Heroes Del Silencio	45543	876
576267	12765	Humanos a Marte	Chayanne	576267	947
580149	12727	Hasta Que Se Seque el MalecÃ_n	Jacob Forever, Farruko	580149	1545
576091	12701	This is the life	Sweet California	576091	51
575768	12662	Wings	Birdy	575768	304
579373	12651	Reality - Radio Edit	Lost Frequencies, Janieck Devy	579373	228
578821	12527	King	Years & Years	578821	107
9523	12460	QuÃ©date conmigo - VersiÃ_n Baku	Pastora Soler	9523	41
378474	12418	On Top Of The World	Imagine Dragons	378474	272
577166	12373	I Bet My Life	Imagine Dragons	577166	163
576218	12349	Rueda, Rueda	Eddy Lover	576218	1098
18337	12338	Sin Documentos	Los Rodriguez	18337	532
540640	12332	El TiburÃ_n	Henry Mendez	540640	1331
68751	12299	The Logical Song	Supertramp	68751	397
10646	12277	Devuelveme A Mi Chica	Hombres G	10646	765
580279	12275	La Lluvia en los Zapatos	Leiva	580279	150
575195	12268	VolvÃ_ a Nacer (Quiero casarme contigo)	Carlos Vives	575195	395
559783	12244	Live Your Life	MIKA	559783	226
576781	12240	Cool Kids	Echosmith	576781	146
67458	12197	My Baby Just Cares For Me	Nina Simone	67458	341
82032	12159	Club de fans de John Boy	Love of Lesbian	82032	729
579415	12156	Marvin Gaye (feat. Meghan Trainor)	Charlie Puth, Meghan Trainor	579415	237
369052	12154	El Beso	Pablo Alboran	369052	221
330427	12142	Viva La Vida	Coldplay	330427	1100
578814	12129	See You Again (feat. Charlie Puth)	Wiz Khalifa, Charlie Puth	578814	304
23325	12071	Losing My Religion	R.E.M.	23325	1296
579166	12019	Don't Worry (feat. Ray Dalton) - Radio Version	Madcon, Ray Dalton	579166	166
579277	12012	Are You With Me - Radio Edit	Lost Frequencies	579277	176
577124	11988	The Days	Avicii	577124	210
81674	11987	Cualquier Otra Parte	Dorian	81674	100
577917	11982	Mi verdad - feat. Shakira	ManÃ¡, Shakira	577917	417
433177	11952	Lobo-Hombre En ParÃ_s	Union, La	433177	668
575858	11948	#SELFIE - Original Mix	The Chainsmokers	575858	474
580114	11876	DUELE EL CORAZON	Enrique Iglesias, Gente De Zona, Wisin	580114	217
514471	11848	Caliente	Jay Santos	514471	605
580288	11806	Shed A Light (feat. Cheat Codes)	Robin Schulz, David Guetta, Cheat Codes	580288	52
576063	11786	Soltera	Jose De Rico, Danny Romero, Fito Blanko	576063	727
571497	11772	Princesa de mi cuento	Sergio Contreras	571497	1205
579781	11745	Who's loving you? (feat. Anastacia)	Auryn, Anastacia	579781	157
141874	11717	More Than A Feeling	Boston	141874	818
43909	11681	Antes de que cuente diez	Fito y Fitipaldis	43909	1216
369061	11677	Ã‰xtasis	Pablo Alboran	369061	597
577001	11676	Geronimo	Sheppard	577001	198
576508	11635	Lovers on the Sun (feat. Sam Martin)	David Guetta, Sam Martin	576508	595
577144	11608	Lips Are Movin	Meghan Trainor	577144	196
21718	11582	Trouble	Coldplay	21718	75
577156	11580	Garabatos	Fito y Fitipaldis	577156	679
12740	11567	Best Of You	Foo Fighters	12740	823
212644	11547	Crazy	Aerosmith	212644	1250
315033	11538	Try	P!nk	315033	1007
310246	11532	Take Me Out	Franz Ferdinand	310246	1155
579917	11489	Come	Jain	579917	253
576419	11479	ÃÅngel de Amor	TatishÃ©	576419	30
21716	11465	Yellow	Coldplay	21716	290
443249	11417	Me pones tierno - feat. Carlos Baute	Rasel	443249	196
579649	11403	Hundred Miles	Yall, Gabriela Richardson	579649	83
558711	11381	The Other Side	Jason Derulo	558711	125
357919	11379	Chase The Sun - Musica Feliz Ibiza Beat Remix	Norman Doray, David Tort	357919	5
579271	11348	Headlights (feat. Ilsey)	Robin Schulz, Ilsey	579271	37
579418	11336	VaivÃ©n	Daddy Yankee	579418	1039
359273	11332	Are You Gonna Be My Girl	Jet	359273	812
579401	11286	Locked Away	R. City, Adam Levine	579401	177
21763	11276	Clocks	Coldplay	21763	416
42753	11270	Pero A Tu Lado	Los Secretos	42753	1053
282348	11240	Midnight In Memphis	J.J. Cale	282348	28
579494	11233	Adventure Of A Lifetime	Coldplay	579494	513
369352	11226	Hall of Fame	The Script, will.i.am	369352	457
374690	11217	Solo Tu	India Martinez	374690	49
43641	11180	Don't Stop Me Now	Queen	43641	2080
315035	11143	Just Give Me A Reason	P!nk	315035	170
580147	11137	Closer	The Chainsmokers, Halsey	580147	237
578463	11088	Hey Babe	Calum	578463	67
541553	11084	Come & Get It	Selena Gomez	541553	117
575782	11070	Money On My Mind	Sam Smith	575782	90
24023	11066	19 Dias Y 500 Noches	Joaquin Sabina	24023	1948
104239	11052	Escuela De Calor	Radio Futura	104239	950
50656	11052	Y Quisiera	Ella Baila Sola	50656	10
580101	11034	Perfect Strangers	Jonas Blue, JP Cooper	580101	196
579761	10996	Stitches	Shawn Mendes	579761	100
580243	10995	Don't You Know	Kungs, Jamie N Commons	580243	86
571502	10989	Turn the Night Up	Enrique Iglesias	571502	83
34369	10986	Viveme - Barcelona	Laura Pausini	34369	48
43614	10984	Bohemian Rhapsody - 2011 Remaster	Queen	43614	1832
579915	10979	Can't Stop the Feeling! (Original Song from DreamWorks Animation TROLLS)	Justin Timberlake	579915	310
575437	10971	Los Gatos No Ladran	India Martinez	575437	228
576507	10956	Feliz	Bustamante	576507	208
433203	10948	Eloise	Tino Casal	433203	1002
369156	10943	LÃ¡grimas desordenadas	Melendi	369156	3019
579876	10936	Work from Home	Fifth Harmony, Ty Dolla $ign	579876	130
24462	10914	Close To Me	The Cure	24462	259
580296	10912	Hey Baby	Dimitri Vegas & Like Mike, Diplo, Debâ€™s Daughter	580296	62
577240	10895	Lejos De AquÃ_	Farruko	577240	482
9512	10866	La mala costumbre	Pastora Soler	9512	48
3245	10861	No me crees	Efecto Mariposa	3245	16
576495	10855	Photograph	Ed Sheeran	576495	108
579911	10846	Caos	Malu	579911	122
576227	10802	human	Christina Perri	576227	118
575645	10791	AsÃ_ soy yo	Kiko Rivera	575645	1207
578395	10765	Un Zombie A La Intemperie	Alejandro Sanz	578395	206
44259	10756	Valiente	Vetusta Morla	44259	636
577484	10753	Saturday I'm in love	Auryn	577484	61
579495	10740	Ya No	Manuel Carrasco	579495	354
201793	10738	Walkin' Blues	Eric Clapton	201793	4
577866	10717	Juntos (Together)	Juanes	577866	64
575513	10710	LlegarÃ¡	Antonio Orozco	575513	365
11190	10656	Esos Ojos Negros	Duncan Dhu	11190	296
580383	10645	Espectacular	Fangoria	580383	307
577143	10609	Girls in Luv - Radio Mix	DJane HouseKat, Rameez	577143	124
576807	10606	Palabras	Amaia Montero	576807	68
576400	10600	La Temperatura	Maluma, Eli Palacios	576400	554
453864	10600	The Piano Has The Blues	Jay Preston	453864	3
5432	10562	Te regalo	Carlos Baute	5432	86
578853	10519	Bandida	Danny Romero, Maluma	578853	861
453837	10516	So What - Miles Davis Take 1, 6_4_92	David Grisman, Jerry Garcia	453837	4
164438	10514	20 De Abril	Celtas Cortos	164438	267
326040	10483	Faith	George Michael	326040	405
433174	10480	A Quien Le Importa	Alaska Y Dinarama	433174	1130
447618	10477	Te Pintaron Pajaritos	Yandar & Yostin feat. Andy Rivera	447618	2549
443337	10472	Lo Mejor De Mi Vida Eres TÃº Feat. Natalia JimÃ©nez	Ricky Martin	443337	42
576943	10457	Shake It Off	Taylor Swift	576943	330
108129	10431	Que yo no quiero problemas	David Demaria	108129	7
580151	10427	In the Name of Love	Martin Garrix, Bebe Rexha	580151	186
28691	10374	Pa' Madrid	El Barrio	28691	1664
435074	10362	Sweet Nothing	Calvin Harris feat. Florence Welch	435074	453
576286	10352	First Love	Jennifer Lopez	576286	15
579689	10317	Encantadora	Yandel	579689	374
223018	10292	Poison	Alice Cooper	223018	2193
578674	10261	GDFR (feat. Sage The Gemini & Lookas)	Flo Rida, Lookas, Sage The Gemini	578674	45
447359	10256	Noches De Bohemia	Navajita Platea, Alba Molina	447359	435
579742	10248	Por Fin Te EncontrÃ©	Cali Y El Dandee, Juan MagÃ¡n, Sebastian Yatra	579742	113
575759	10242	Shot Me Down - feat. Skylar Grey	David Guetta	575759	870
12502	10240	Cancion de amor caducada	Melendi	12502	159
580239	10240	Blow Your Mind (Mwah)	Dua Lipa	580239	110
576038	10234	Rather Be (feat. Jess Glynne)	Clean Bandit, Jess Glynne	576038	83
566967	10225	Gitana	El Viaje De Elliot	566967	97
103736	10210	Pesadilla En El Parque De Atracciones	Los Planetas	103736	169
576220	10192	We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song]	Pitbull, Jennifer Lopez, Claudia Leitte	576220	293
373042	10184	My Favourite Game	The Cardigans	373042	256
576201	10183	Buena Energia	Maldita Nerea	576201	107
579648	10163	Ginza - Remix	"J Balvin, Yandel, Farruko, Nicky Jam, DeLaGhetto, Daddy Yankee, Zion, Arcangel, Sky, Alejandro ""Mosty"" PatiÃ±o"	579648	859
318046	10152	Song 2	Blur	318046	921
287303	10144	Alta Fidelidad	Lori Meyers	287303	225
2377	10136	Cuando Brille El Sol - Con Manuel EspaÃ±a	Melocos	2377	32
579780	10118	Gafas de Rosa	Estopa	579780	270
580381	10118	I Feel It Coming	The Weeknd, Daft Punk	580381	186
374354	10108	Pan y Mantequilla	Efecto Pasillo	374354	688
577320	10108	Time Of Our Lives	Pitbull, Ne-Yo	577320	206
42447	10104	Feeling Good	Muse	42447	336
577182	10083	Pasos de cero	Pablo Alboran	577182	197
377188	10063	Veneno En La Piel	Radio Futura	377188	329
580370	10062	Castle on the Hill	Ed Sheeran	580370	118
12849	10061	Chiquilla	Seguridad Social	12849	1205
579814	10030	GeometrÃ_a polisentimental	Fangoria	579814	248
566970	10028	Bombo	Adelen	566970	1108
580168	10028	Antes Que No	David Bisbal	580168	158
576212	10028	One Woman Army	Porcelain Black	576212	26
577823	9996	Agridulce	Raquel Sofia	577823	2
4818	9992	Angeles del suelo	Marea	4818	32
580404	9985	Move Your Body	Sia	580404	166
580371	9983	Just Hold On	Steve Aoki, Louis Tomlinson	580371	81
578746	9959	Haunted - From The Fifty Shades Of Grey	BeyoncÃ©	578746	20
580240	9957	Cuando no me ves	Love of Lesbian	580240	181
11650	9939	Color Esperanza	Coti	11650	14
164604	9934	Cuentame Un Cuento	Celtas Cortos	164604	388
579809	9900	With My Hands	Furious Monkey House	579809	2
14097	9890	Valio La Pena - Salsa Version	Marc Anthony	14097	1151
576226	9890	6:00 AM	J Balvin, Farruko	576226	823
538715	9875	Â¡Corre!	Jesse & Joy	538715	157
535177	9869	A Lo Loco	Dkuba	535177	274
579877	9849	Una en un MillÃ_n	Alexis & Fido	579877	299
358061	9835	Carolina	M-Clan	358061	701
577125	9823	Steal My Girl	One Direction	577125	78
50652	9822	DespÃ_dete	Ella Baila Sola	50652	3
579746	9819	PILLOWTALK	ZAYN	579746	133
575530	9818	Story of My Life	One Direction	575530	378
